" Bowling Green State University. Center for Archival Collections.""", Jerome Library 5th Floor, Bowling Green,OH,43403-0175 ,419/372-2411,Fax 419/372-0155,, ," Tues. - Friday 8:00am till 5:00pm, Monday 8:00 am - 9:00 pm during academic year; M-F, 8 am-5pm in summer.","Research, preservation, conservation, microfilm.", http://www.bgsu.edu/colleges/library/cac.html ,,,,,,,
 New Neighbors League of Toledo., , ,, ,419-205-1872,,, ," Monthly luncheons second Thursday of each month, at 11 am",The purpose is to bring together new neighbors of the city so they may meet and become friends while adjusting to new surroundings. | New Neighbors of Toledo also provides a packet of information about the area to the new residents of the Toledo metro area., ,,,,,,,
 International Park., 2201 Ottawa Parkway, Toledo,OH,43606,419-936-3887,Fax: 419-936-2878,, , 8 am-4:45 pm. Monday-Friday.,"International Park offers championship volley ball courts, available for rent/league/group use. | Also picnic areas, site of International Flag Walk, site of Two Toledos Mural (Toledo, OH-Toledo, Spain), site of S.S. Col. James Schoonmaker Museum Ship and The Docks Restaurants.", ,,,,,,,
 Destination Toledo Inc./Convention and Visitor's Bureau, 401 Jefferson Ave., Toledo,OH,43604,419/321-6404,Fax 419/321-5040,Richard Nachazel,President & CEO. ," 8 am-5 pm, Monday-Friday.","A destination marketing organization service NW Ohio and southern Michigan. | Provide assistance to conventions, tourists needing area information, also provide marketing support for members of Destination Toledo/CVB.", http://www.dotoledo.org ,,,,,,,
 Keep Toledo/Lucas County Beautiful., 1011 Matzinger Rd, Toledo ,Ohio,43612,419/213-2255,Fax 419/213-2201,"Juliana Sample,",Exe. Dir. ," 8:30a.m.-4:30 p.m., Monday-Friday, ","Keep Toledo/Lucas County Beautiful, Inc. (KT/LCB) is dedicated to establishing greener communities through environmental education, litter prevention and voluntary partnerships. KT/LCB is a non-profit 501(C)(3) organization. The ultimate goal of KT/LCB is to raise awareness of solid waste handling options for businesses, organizations and residents so that each takes personal responsibility to improve our environment. Services include: classroom presentations, Trash Toss boxes and recycling units, volunteer litter collection events, Adopt-A-Street/Road program and Mascot appearances.", http://www.ktlcb.org ,,,,,,,
 Juvenile Diabetes Research Foundation., 4041 W. Sylvania Ste. LL6, Toledo,OH,43623,419/873-1377,Fax 419/720-6339,Lori Lamb,Event Coordinator , 9 am-5 pm. M - F.,"Supports and raises funds for research to find a cure for Type 1 diabetes. | Provides information on the disease, through literature, films, speakers bureau, educational meetings, and rap sessions. | Volunteer driven organization.", http://www.jdrf.org/northwestohio/ ,,,,,,,
 Toledo Society. Archaeological Institute of America, Group meets at: Toledo Museum of Art., ,, ,,,, , Eight Fridays a year at 7:30pm; call for dates.,"As a local chapter of the Archaeological Institute of America (headquarters in Boston, over 250,000 members worldwide) we aim to increase awareness of humankind's fragile cultural heritage. Our public lecture series brings together interested members of the community and the world's leading archaeologists to share the excitement of new discoveries. In addition to members-only events we present several public lectures, each of which is richly illustrated, non-technical, free and open to the public. Members subscribe to Archaeology Magazine at a reduced price.", http://www.eeescience.utoledo.edu/toledo_society/ ,,,,,,,
 Toledo's Puerto Rican Club Taino., 3831 Glendale Ave, Toledo,Ohio,43609,,,Maria Gonzalez ,President , ,Education of the general public as to the Puerto Rican culture. Sponsor youth activities. Promote smoke and alcohol free activities. Worked to see the Puerto Rican flag raised in the International Park of Toledo., ,,,,,,,
" Toledo Society of Magicians, Ring 68."," Maumee Elks #1850 - 137 W. Wayne, Maumee, OH"," Toledo,",Ohio,43606,419-893-1944,,, ," 2nd Thursday of the month, 7:30 pm.",A fraternal association for magicians. To promote the art of magic and to unite magicians together. Spreading and cultivating the art of magic., http://www.toledomagic.com ,,,,,,,
 Ohio State University Extension, One Government Center #550," Toledo,",Ohio,43604,419-213-4254.,FAX: 419-213-4241.,Amy Stone,Chair. ," 8:00 am-4:30 pm, Monday-Friday (office) ","Ohio State University Extension is a dynamic educational entity that partners with individuals, families, and organizations to strengthen the lives of Ohioans. We offer research-based newsletters, classes and workshops on topics ranging from money management, to nutrition and community development and horticulture.More information at website.", http://www.lucas.osu.edu ,,,,,,,
 Emotions Anonymous , 5100 Harroun Room E Total Rehab Conference Center, Sylvania,Oh, ,,,, , 7 pm Sunday.,"Support group which helps individuals from all walks of life learn to cope with such symptoms as panic, anxiety, depression, abnormal fear, self pity, resentment, remorse, insomnia, jealousy, envy, guilt, despair, fatigue, tension, boredom, loneliness, low self esteem, withdrawal, obsessive and negative thinking, worry, compulsive behavior (eating, drinking, working, spending) and other psychosomatic or physical illnesses. Follow the Twelve Step Program.", ,,,,,,,
 Women's Entrepreneurial Network., P.O. Box 514, Maumee,OH,43537,419 536-6732,,Alicia Wagner, , Call or visit website,To support and encourage business women and women friendly business with successful entrepreneurial development., http://www.wen-usa.com ,,,,,,,
 Korean War Veterans Association., Group meets at Margaret Hunt Senior Center, Toledo,OH,43614,734-847-0606,,Daniel Draheim,President ," Second Wednesday each month, 2:00 pm.","To organize, promote and maintain for benevolent and charitable purposes a group of persons who have seen honorable service during the Korean War, to promote and provide education and history of and about the Korean War, to aid needy charter members and their wives and children, and the widows and children of persons who were members at the time of their death. Chartered by Congress, June, 2008.", ,,,,,,,
 Welsh Society of Northwest Ohio., Gomer Congregational Church, Gomer,OH, ,419-642-5911,,, ," Monthly, 2nd Wednesday, 10 am","To foster appreciation of Welsh heritage and traditions, To promote literature, poetry, music and arts of Wales. Four meetings per year starting with St. David's Day on March 1, the date of his death. Bus tours to places of interest where Welsh people settled; Welsh homes at Gomer, scholarships are given with the proceeds. We also sponsor Gomer Welsh Community Museum, open 1:30-4, 2nd and 4th Sundays/month by appointment. In October, a Welsh breakfast. Women's tea in May.", ,,,,,,,
 Toastmasters. Toledo Club.," Group meets at:The Toledo Club, Madison & 14th", Toledo,OH,43604,,,, ," Second and fourth Friday, 7 am.","To provide a mutually supportive and positive learning environment in which every member has the opportunity to develop communication and leadership skills, which in turn foster self-confidence and personal growth.", http://toledoclub.toastmastersclub.org ,,,,,,,
 Black Swamp Hosta and Daylily Society.," Group meets at Toledo Botanical Garden, Conference", Toledo,OH, ,,,Charlene Patz 419-874-8964., Email: cfpatz@att.net ," Various Saturdays, 1:00 pm.","To promote, encourage and foster interest in the genus hemerocallis and hosta.", ,,,,,,,
" Ohio State University Extension, Botanical Gardens"," 5437 W. Bancroft. Mailing address 5403 Elmer Dr. Toledo, OH 43615", Toledo,Ohio,43615,419-578-6783,FAX: 419-578-5367,Lee Richter, ," Mon, Weds, and Fri 10 am - 1 pm.","We offer residents of Lucas County horticultural information. Our office is responsible for tracking gypsy moth and emerald ash borer and other exotic invaders populations. We offer a horticulture hotline for residents on Monday, Wednesday, and Friday from 10 am-1 pm. We offer master gardener volunteer training classes. We offer a Ohio certified volunteer naturalist programs. We also identify plants and insects.", http://www.osutbg.osu.edu ,,,,,,,
 Musica Antigua De Toledo.," Group meets at Epiphany Lutheran Church, 915 N Reynolds Rd.", Toledo,OH,43615,419-475-6177,,Dr. Alice Petersen, ," Sundays for rehearsals, 7:00 pm.","The ensemble is an outlet for local musicians interested in performing medieval, renaissance and baroque music, and bringing it to area audiences. A concert series is offered, and the group is available for hire.", http://www.musicaantiguatoledo.org ,,,,,,,
 Parkinson Support Group of Toledo.," Boulevard Church of Christ, 7041 Sylvania", Toledo,OH,43560,419-841-3070,,Carrie Boze, ," 2nd Thursday, 1:30 p.m., except Jan., Feb., and March.",Education on Parkinson's disease and support to patients and family., http://www.pfnwo.org ,,,,,,,
 Schedel Arboretum and Gardens., 19255 W. Portage River South Rd., Elmore,OH,43416,419-862-3182,,, , April (Tues. - Saturday 10am - 4 pm.) May - Oct. (Tues. - Sat. 10am to 4pm.) Sundays (12pm to 4pm.),Members support the operation of the arboretum and gardens. Certain benefits are extended to different membership levels., http://www.schedel-gardens.org ,,,,,,,
 Toledo River Gang.," None, but club gathers for various flat and moving water trips throughout the year. The club also meets on Sunday mornings from Jan. through March for pool roll practice at the Ft. Meigs YWCA and at Three Rivers Pond in Perrysburg, OH May - August.", ,, ,419 471-0547,,Sandy Lewandowski, ," First Wednesday of the month, 6:30 (meeting at different restaurants each month)","Promote safe boating, river conservation, good stewardship of natural resources, paddling sports as recreational fun. Sponsors beginning kayaking classes, moving water classes, whitewater classes, river rescue classes, river trips, river clean-ups, social outings. Produce a monthly newsletter.", http://www.toledorivergang.homestead.com ,,,,,,,
 Graceful Beginnings Nursery School., 4441 Monroe St., Toledo,OH,43613,419/474-6403 ext. 3,Fax 419/474-7726,"Cindy Kluczynski,",Dir/Teacher ," 9 am-12pm, M-W-F and 9pm -11:30 am Tues and Thurs.","Freeplay, art, circle time consisting of learning activities (kindergarten readiness skills) stories, Bible stories, songs, fingerplays, helper jobs, snack, science, large muscle activity. This is a Christian based nursery school. Have a large gym.", http://www.gracelutherantoledo.org/nursery.html ,,,,,,,
" Kindercare Learning Centers. (N. Holland-Sylvania Rd., Toledo).", 2812 N. Holland-Sylvania Rd., Toledo,OH,43615,419/531-6450,419-531-8854,"Crystal Urrutia,",Center Director ," 6 am-6 pm, M-F.","Part time and all day sessions, open year round. | Educational programs, tutorials and phonics program, summer camp program, two playgrounds on site. Breakfast, lunch and afternoon snack provided.", http://www.kindercare.com ,,,,,,,
 West Side Montessori at Perrysburg., 13587 Roachton Rd., Perrysburg,OH,43551,419/874-9385,FAX: 419-872-5035,"Jennifer Schoepf,",Site Director. ," 7:30am - 6pm, M-F.","Private, non-profit school for children ages 13 months through Kindergarten. Part-time and all day programs during school year, camps during the summer. Outdoor/indoor, age appropriate playgrounds. Curriculum is age appropriate and based in a hands on approach to math, language arts, science, geography, art, music, everyday living skills and physical education. Mixed age classrooms encourage the children to teach, help and collaborate with each other. The older children become role models for younger childen. Montessori philosophy promotes mutual respect, social responsibility, self-reliance, natural curiosity and a love of learning.", http://www.wsmctoledo.org ,,,,,,,
 School For Autistically Impaired Learners (SAIL)., 3740 Cavalear Dr, Toledo,OH,43606,419-537-SAIL (7245).,,"Dr. Marion Boss, C.E.D., Ph.D.,",Executive Director ," Monday-Friday, 8 am-5 pm. Weekend appointments. ","SAIL is a research based program providing free education to families with toddlers, preschoolers, and school-age children through grade 12 diagnosed with autism, pervasive development disorders (PDD), or behaviors within the Autistic Spectrum Disorders (ASD), neurological conditions primarily effecting receptive and expressive communication and intra/interaffective regulation and socialization skills.", http://www.sailohio.org ,,,,,,,
 Bavarian Sports Club., 2102 Lagrange St., Toledo,OH,43608-2636 ,419-255-6040,,Tom Zunk,President , Meeting 2nd Wednesday 8pm. ,"To promote sportsmanship through soccer, ethnic German dancing and the German culture.", http://www.bavariansportsclub.org ,,,,,,,
 Association for Toledo Development. Greater Toledo Area chapter, P.O. Box 825, Maumee,OH,43537,,,, , Third Wednesday of every month - Check website. Sept - May. Late afternoons. Call for details.,"Serves talent development professionals in NW Ohio and Southeast Michigan in the fields of human resources, training/learning, organization development, leadership development.", ,,,,,,,
 Toledo Area Bicyclists.," Various places, ride on any days but Friday May -Sept. and April - October, weekend rides. Nov - March on Saturdays. Call for times.", ,, ,,,, , Date and times vary.,"A group of people who like bicycling, enjoy riding in groups for physical fitness and socializing. Our riders come in all shapes and sizes with a large variety of abilities, fast and slow rides alike.", http://www.tabnet.org ,,,,,,,
 Northwest Ohio Traditional Music and Dance., Group meets at Rossford United Methodist Church, Rossford,OH, ,,,, ," Meet on 2nd Saturday of the month, 7:30-10:30 p.m.",Promote traditional American music and country dances., ,,,,,,,
 Students For Other Students., 3171 N. Republic Blvd., Toledo,OH,43615,419/843-7262,Fax 419/843-7229,"Ford B. Cauffiel,",Chair , 9 am-5 pm.,"Provide funding to northwest Ohio public schools for a students tutoring other students program. Older students tutor younger students who are falling through the cracks"". Student tutors are paid an hourly wage. All school districts match funds with SOS.""", ,,,,,,,
 Swanton Area Chamber of Commerce., 100 Zeiter Way, Swanton,OH,43558,419/826-1941,Fax 419/826-3242,"Neil Toeppe,",Executive Director. ," 8 am-12 noon, Monday-Friday.","Chamber is an association formed to preserve the competitive enterprise system of business and promote business and community growth and development. Membership provides networking opportunities, cost saving member benefits, commmunity activities in addition to active promotion of member businesses.", http://www.swantonareacoc.com ,,,,,,,
 Phoenix Earth Food Co-op., 1447 W. Sylvania Ave., Toledo,OH,43612,419/476-3211,,Lisa Blake,Store Mgr. ," M-Friday 9 a.m. - 8 p.m., Sat 9 a.m. - 7 p.m., Sun 11 a.m.-5 p.m.","Retailer of whole foods, natural products, organic produce, special dietary foods. local products. Grocery store, bulk foods, reference library, product information also available. Emphasis on relationships between nutrition and environment. Accepts Food Stamps and credit cards. ", http://www.phoenixearthfoodco-op.com ,,,,,,,
 Coffee House League. (CHL), Group meets at:various places, ,, ,419-381-8871,,, , Schedule in CIP file,"Promotion of chess, go, and backgammon for all levels students and senior citizens. Outreach to students and schools, shut-in program, tutoring and ratings available for all members.", ,,,,,,,
 American Recorder Society - Toledo Chapter, , ,, ,419-474-6572,,Charles Terbille,Chapter Representative. (opcit@bex.net) , Time and day vary.,"To encourage the playing of the recorder, a unique instrument that provides accessibility to beautiful music, past and present to people of all ages and abilities. We encourage joining the National organization to receive the many benefits they offer, including a journal, music, a newsletter, directory and a personal study program.", ,,,,,,,
 Black Swamp Blues Society., P.O. Box 5436, Toledo,Oh,43613,419-704-8033,,Janet Struble, , Day and time varies (bi-monthly).,"BSBS was founded in 1996 by a key group of blues music enthusiast. Our mission is to promote and preserve the blues creating opportunities for fans to see quality national and local blues artists. BSBS educates the community about the blues music (Blues in the Schools), hosts annual International Blues Challenge for northwest Ohio, supports local blues musicians and sponsors events that brings in blues artists. BSBS is a member of the Blues Foundation and the International House of the Blues.", http://blackswampbluessociety.org ,,,,,,,
 Greater Toledo Area Chapter of American Association of Critical-Care Nurses, P O Box 351203," Toledo,",Ohio,43606,419-690-8753,,Heidi Shank, , First Wednesdays of the month at 6:00 p.m. Meetings rotate between restaurants and Toledo area hospitals,"We are committed to providing the higest quality resource to maximize nurses' contribution to caring and improving the health care of progressive care critically ill patients and their families, also on Facebook.", http://www.aacn.org/gtac ,,,,,,,
 Children's Discovery Center, 8011 Dutch Rd, Waterville,OH,43566,419-878-8689,,Lisa Hornyak,Administrator ," 6:30 am-6:15 pm, Monday-Friday.","Reggio Emilia philosophy used. Christian based chapel lessons. Morning preschool program with circle time, art, outdoor activities, learning centers, cooking projects, storytime, etc. Noon-lunch; 1-3 nap, 3-6 learning centers, outdoor activities, etc. Outdoor areas of playground have climbers, sand areas and water play activities. Morning snack, lunch, afternoon snack. Rated Step 2 on 'Step Up to Quality' program. We have chartered non-public kindergarten program, and 1st and 2nd grade chartered programs.", http://www.childrensdiscoverycenters.com ,,,,,,,
 Call to Action of Northwest Ohio., 2104 Woonsocket Rd, Toledo,OH,43615,419-536-9637,,Sydney Condray,email: ctaofnwoh@gmail.com ," Meets monthly. Day, time and place of next gathering chosen at each meeting.","Call To Action of Northwest Ohio is a gathering of Catholic Christians dedicated to the principles of Vatican II. The group explores and fosters the spiritual and theological concepts of the church in the spirit of that Council, in word and action.", ,,,,,,,
 Aurora Academy., 824 Sixth , Toledo,OH,43605,419/693-6841,Fax 419/693-4799,Kristie Sprauges, ," Monday-Friday, 8-3:30",We are a public charter school serving typical to at risk students K-8 in Toledo Ohio. We provide transportation for those students who need it. Volunteers are welcome. We were the first charter school to open in the state of Ohio., ,,,,,,,
 Sylvania Community Action Team. (S.C.A.T.), 4747 N. Holland-Sylvania Rd., Sylvania,OH,43560,419/824-8588,Fax 419/824-8545,Deb Chany,Executive Director ," Monday - Friday, 9:00-5.","Sylvania Community Action Team (S.C.A.T.) is a community coalition of youth, adults and organizations dedicated to providing leadership in the promotion of a safe and healthy community. Since 1985, SCAT's team has done this through awareness, education and prevention of at-risk behaviors, bringing together resources which support positive youth, family and community development, helping Sylvania address at-risk behavior, including alcohol and drugs among our young people. We sponsor and support the following initiatives: 'Parents Who Host, Lose the Most', 'Talk: They Hear You.' And Youth Leadership and parent education and awarness, sponsorship of town halls, 24 Hour Relay Challenge, National Red Ribbon week. 'Know: Parenting Tips.'", http://sylvaniascat.org ,,,,,,,
 Canal Experience, S River Road, Grand Rapids,OH,43522,"419/407-9741 Park, 419/407-9788 Mill",, 419 407-9741, , Call for hours and days open.,"Rides aboard authentic 1870's mule-drawn canal boat on original stretch of the Miami and Erie Canal, including an original lock; tours of the Isaac Ludwig Mill. A water powered saw and grist mill; roller dam on the Maumee River.", http://www.metroparkstoledo.com ,,,,,,,
 Professional Musicians of Northwest Ohio Local #15-286., 1700 N. Reynolds Rd., Toledo,OH,43615,419 531-9933,,Charles Slater, , Monday - Friday 9-5,"Referral service for members, provide life insurance, credit union, minimum wage scales and working conditions, 24 hour assistance via toll free wats line, local negotiated agreements, legal counsel, AFM approved contract forms available, professional equipment insurance.", ,,,,,,,
 Catholic Church. Diocese of Toledo (Ohio) Office of Black Catholics, 1933 Spielbusch Ave., Toledo,OH,43604,419/244-6711- ext. 4871,Fax 419/244-4791,Carlos Castaneda, ," 9 am-5 pm, Monday-Friday.","For Black Catholics (leadership development, adult formation, catechesis, outreach-evangelization) provide resources, information and assistance about the spiritual history of Black Catholics.", http://www.toledodiocese.org ,,,,,,,
 Construction Financial Management Association of Northwest Ohio., Group meets at the Toledo Club 235 14th Street., Maumee,OH,43537,,,Ron Carter, ," Third Thursday each month, Sept. - May 11:45 am-1:15 pm.","A professional association dedicated to meeting the information needs of construction managers. Unlike other financial associations it focuses exclusively on the full range of responsibilities faced by today's construction financial managers. Educational programs, magazines, directories, job bank, financial surveys, computerization surveys, annual conferences, workshops, etc.", http://nwohio.cfma.org ,,,,,,,
 Farmers Market Association of Toledo., 525 Market St. P.O. Box 9294, Toledo,Ohio,43697-9294 ,419/255-6765,Fax - 419-255-6765,"Dan Madigan,",Executive Director ," Saturdays - Downtown 8am. - 2pm. (May thru November), 9am. - 1pm. (December thru April). Wednesdays - Westgate 3pm - 7pm (May thru October). ","Provide customers with fresh local and regionally grown fruits and vegetables, also dressed poultry, eggs, baked goods, bread, herbs, flowers, plants, lawn items, coffee, dried flowers and crafts. Shipped in produce during off season, open all year round, limited vendors in off season.", http://www.toledofarmersmarket.com ,,,,,,,
 Toledo Electrical Joint Apprenticeship and Training Committee, 803 Lime City Rd., Rossford,OH,43460,419/666-8088,Fax 419/666-0336,"David R. Wellington,,",Training Director ," 8 am-4:30 pm, M-F.",An apprenticeship school for the electrical industry., http://www.tejatc.org ,,,,,,,
 Toledo Cultural Arts Center. Valentine Theater, 410 Adams St., Toledo,OH,43604,"Office 419/242-3490, Box Office 419/242-2787",Fax 419/242-2791,, ," 9am-5pm, M-F.","Theater rental, performing arts venue, rehearsal hall, meeting spaces, event rentals. Also present performing arts season (25-35 events). Check our website or call for free season brochure.", www.valentinetheatre.com. ,,,,,,,
 Quotidian Quilters.," Group meets at the Grace United Methodist Church, Perrysburg", Perrysburg,OH,43551,419/478-3839,,"Joyce Dauer,",Coordinator ," 7:00-9:00 pm, third Thursday of even months.",To share our enthusiasm for small and miniature quilts through shared and individual projects., ,,,,,,,
 Toledo School for the Arts., 333 14th St., Toledo,Ohio,43604,419/246-8732,,Martin Porter,Director , 8:00 - 3:30 pm M-F,"Enrolling 100 students for each grade, 6-12. Offering students an education based in arts disciplines and comply with all state requirements. This is a public school.", http://ts4arts.org ,,,,,,,
 Society for Creative Anachronisms. (SCA) (Barony of Red Spears), Park Church. 1458 Harvard, Toledo,OH,43614,419-309-0271,,Robert Wenzloff, ," Every Tuesdays, 7:30 p.m.","Medieval educational & recreation group of period 600-1600 A.D. Anything that was done in the Middle Ages with emphasis on European history, but other cultures are also studied within the same time period. Participation for those interested in martial arts (sword fighting) is offered.", http://www.midrealm.org/redspears/ ,,,,,,,
 Daughters of Union Veterans of the Civil War 1861-1865. (Harriet Brubaker Tent #139), Group meets at Kaubisch Memorial Public Library, Fostoria,OH,44830,,,, ," Third Saturday of the month, 10 am. (except Jan-Feb)","To spread widely the teachings of patriotism, loyalty to the government of the USA. To keep alive the memory, deeds and loyalty of our ancestors. To promote interest in the Civil War history. To cooperate in movements relating to veteran, civic and welfare projects.", ,,,,,,,
 Toledo's Attic Virtual Museum, U of Toledo. 2801 W. Bancroft, Toledo,Ohio,43606,419-530-4497,,Ward M. Canaday,Center for Special Collections , 8:00 am. - 5:00 pm. Monday - FridayNo date and time stated.,"Created in the belief that historical knowledge of one's own city enriches a sense of personnal and cultural identity, engenders civic spirit and responsibility, and contributes to a well-lived life. Toledo's Attic is Toledo's and Northwest Ohio virtual museum with a focus on the region's commercial, idustrial, and social history from the late 19th through the late 20th centuries.", http://www.toledosattic.org ,,,,,,,
 National Alopecia Areata Foundation.," 2008 Upton Ave., Toledo, OH 43607", ,, ,419 531-3174,,Marchelle Gregory,cupsinmyfence@bex.net , ," A chance to learn how others cope and to teach you how to cope. Talks on developments in research and treatment. Discussions of our condition or ways to improve our appearence, confidence and coping skills. | Caused by an auto-immune deficiency not to be confused with an aquired-immune deficency. This condition mostly affects children, however can start at any age.", ,,,,,,,
 National Exchange Club, c/o National Exchange Club. 3050 Central Ave. c/o Sally Akers. , Toleo,Ohio,43606,419-535-3232,,Tracy Edwards,Vice President. , ,"Community service - youth, Americanism, prevention of child abuse.", ,,,,,,,
 Black Swamp Spinners Guild., Group meets at: Red White & Brew. 366 Rice St., Elmore,OH, ,419 352-0211,,Deb Yeagle,419-680-1186 ," Second Tuesday of each month, Sept-May 10am-3pm.","The Guild was established to stimulate interest in spinning and fiber arts by interaction with others; to educate members through lectures, programs at meetings, weekend workshops and other area groups.", http://www.blackswampspinnersguild.org ,,,,,,,
 Ben E. Williams Youth Services Incorporated., P.O. Box 840, Toledo,OH,43697,419/535-1289,,"Ben E. Williams,",Exec. Dir. ," 9 am-5 pm, Monday-Friday.","Free services provided for needy youth such as the Ben E. Williams Academic Scholarship Program, the Enrichment Program, and our Career Education Program,career education, fitness and nutrition programs.", http://bwyouthservices.wix.comybenwilliamsyouthservices#! ,,,,,,,
 MADD Poets Society. , 653 Miami St, Toledo,OH,43605,419-509-6776,,Shawn McNeal 419-266-7231,Mizmina40@gmail.com ," Alternate Saturdays, 10:00 - 1:30 (call ahead)","'Making a Direct Difference youth program' Poetry program, poetry performances, debate team, theater, life skills, mentoring", http://www.maddpoetsociety.org ,,,,,,,
 One Village Council, P O Box 845, Toledo,OH,43697,419 250 7912,,Alfonso Narvaez, ," Second Tuesday of the month, 6:30 p.m.","Grassroot community organizing, hold neighborhood meetings to decide issues and invite city officials, law enforcement, businesses, landlords, and residents for accountability forums, Paczki fundraiser done before Lent, Polish Festival every 2nd weekend in July.", https://www.facebook.com/ONEVillageCouncil ,,,,,,,
 St. Kateri Catholic Academy, 3225 Pickle Rd, Oregon,Ohio,43605,419-693-0465 ext. 143,Fax 419/691-4365,"Mrs. Sandy Miner,",Teacher/Director ," Open Sept.-May, closed weekends and all holidays.","Religious atmosphere, social, emotional, cognitive, physical and multi-cultural experiences for preschoolers. Preschool program for 3's and 4's. Also offer a before school care and after school care. Outdoor fenced-in playground, gym once a week with a gym teacher. Access to smart boards and computers. Can purchase a hot lunch. Music, computer and art once a week.", http://www.katerischools.org ,,,,,,,
 Emmanuel Christian School./Home School Division, 4607 W. Laskey Rd., Toledo,OH,43623,419/885-3558.,FAX: 419-885-0139.,Robert Flamm,Administrator , 8:10 am-3 pm.,"To assist the Christian family by providing students with godly loving training that inspires them to exemplify Christ, make Bibically-based decisions and attain academic excellence. A K-12 private Christian school. Can take on-campus classes, up to 2 credits yearly. Choir, band & Phys. Ed.", http://www.ecstoledo.org ,,,,,,,
 Common Threads," 1701 Holland Rd, Suite B", Toledo,Ohio,43614, 419/867-5950,Fax 419/867-5954,Karen Diaz,. , Please call before attending meeting. 1:00pm third Monday each month.,"Peer support group for adults who have epilepsy/seizure disorder, focus is on peer support", htttp://www.epilepsycenter.org ,,,,,,,
 Fossil Park, Centennial Rd. between Brint & Sylvania-Metamora," Sylvania,",Ohio,43560,419-882-8313 ,FAX: 419-885-4237,, ," Memorial Day Daily 8:30am. - 11/2 before sunset to 1st weekend in November, naturalist on duty weekend 11am.-5pm.",Fossil Park is a site where visitors can dig for 375 million year old Devonian Era fossils in a safe family environment. Digging tools prohibited., http://www.olanderpark.com ,,,,,,,
" Reserve Officers Association/Ohio Chapter 60, H. Kenny Burch Chapter. (ROA)", 6629 Fawn Lane," Maumee,",Ohio,43537-1176 ,419-868-3039,,, , As called,Chartered by Congress to support and promote the development and execution of a military policy that will provide adequate national defense., ,,,,,,,
 ," 5166 Monroe St., Suite 301", Toledo,Ohio,43623,419-885-2561 ext-1205,,"Debbie Keller,", LSW , M-F 8:30 am-4:00 pm,"Licensed Social workers specializing in gerontology arrange for services to maximize independence and enhance quality of life by assessing one's needs, creating and coordinating individualized plans of service, and monitoring the individual's situation.", ,,,,,,,
 ," 520 Madison Ave., 640 Spitzer Building", Toledo,Ohio,43604,419-724-0030,Fax:419-321-1582,"Patricia J. Robb,", Communications Director. ," Monday through Friday, 9:00 a.m. to 5:00 p.m.","LSNO provides low-income residents with avariety of civil legal services, including litigation, negotiation, and community education. Special projects serve victims of doestic violence, senior citizens, and migrant farmworkers. Each year, LSNO's experienced staff of attorneys, paralegals, and support personnel serves thousands of people in 15 northwest Ohio counties through offices in Defiance, Findlay, Fremont, Sandusky, and Toledo. LSNO provides representation in a number of areas, including", http://www. ,,,,,,,
 Westgate Neighbors, 2842 Inwood Drive, Toledo,Ohio,43606,419 279-9330,,Ken Pfaff, , ,"Westgate Neighbors exists as an advocate for the neighborhoods surrounding the Central/Secor shopping district as those neighborhoods' interests pertain to land use, zoning, appropriate development, improving economic opportunities, and the health, safety, and welfare of the residents and small businesses.", ,,,,,,,
" Toastmasters, Westgate Club."," Group meets at: West Park Place, 3501 Executive Pk"," Toledo,",Ohio,43606,616-550-5454,,Chris Watson,President , Friday 7:00 am. - 8:30 a.m.,To help people develop their leadership and communication skills. To develop public speaking skills., http://www.3139.toastmastersclub.org ,,,,,,,
 , One Stranahan Sq. Suite 560," Toledo,", Ohio,43604,419-243-1119 x-16,Fax: 419-243-4534,"Ann Muder,",Program Coordinator , 9am-5pm Monday-Friday (voice mail after hours).,"Support group for parents & grandparents of children (age 5-18). Mind works support group for teens (ages 12-17). Both meet every onday, except holidays from 7-8", ,,,,,,,
 Toastmasters. Trendsetters," Uncle John's Pancake House, 3131 Secor Rd."," Toledo,",Ohio,43606,419-726-5852,,Tony Slawinski, ," 2nd & 4th Mondays each month, 6:30pm - 8:00pm..",To help people with their communication., ,,,,,,,
 Lunch Bunch MS Support Group, Bob Evans Restaurant 3025 Glendale, Toledo,OH , ,,,Sherrie,419-382-8821 ," 2nd Thursday , 11:30 a.m. - 1:30 p.m.",Support each other in living with multiple sclerosis. Share information and coping skills., ,,,,,,,
 Military Order of the Loyal Legion of the United States (MOLLUS), Ohio Commandery Meetings location varies," Fremont,",Ohio, ,,,Keith Ashley,Commander , Spring [May] and Fall [September] Annual Meetings.,"The Military Order of the Loyal Legion of the United States was founded April 15, 1865, in remembrance of our 16th President, Abraham Lincoln, by three Union officers in Philadelphia, PA to commorate the events and principles of the War for the Union then drawing to a close. One principle of the order is to pledge a 'true allegiance to the United States of America, based on paramount respect for the fidelity to the National Constitution and Laws, manifested by discountenancing whatever may tend to weaken loyalty, incite insurrrection, or rebellion or impair in any manner the efficiency and permanency of our free institutions.' The Ohio Commandery was founded by Rutherford B. Hayes who was elected as the first State Commander on February 7, 1883.", http://www.suvcw.org/mollus/mollus.htm ,,,,,,,
